flight_number,call_sign,status,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_model,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_timezone,departure_datetime,departure_datetime_revised,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_timezone,arrival_datetime,arrival_datetime_revised
FR 3326,RYR82SM,Departed,Ryanair,FR,RYR,SP-RZF,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:20:00,2025-05-05 04:20:00,Limerick city,SNN,EINN,Europe/Dublin,2025-05-05 07:30:00,
FR 6734,RYR6734,Departed,Ryanair,FR,RYR,SP-RZO,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:35:00,2025-05-05 04:35:00,Olbia,OLB,LIEO,Europe/Rome,2025-05-05 06:55:00,
KL 1322,KLM1322,Departed,KLM,KL,KLM,PH-NXS,Embraer 195,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:35:00,2025-05-05 04:35:00,Amsterdam,AMS,EHAM,Europe/Amsterdam,2025-05-05 06:35:00,2025-05-05 06:23:00
OS 600,AUA600,Departed,Austrian,OS,AUA,SE-MKF,ATR 72,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:45:00,2025-05-05 04:45:00,Vienna,VIE,LOWW,Europe/Vienna,2025-05-05 06:05:00,2025-05-05 05:51:00
FR 2611,RYR3AN,Departed,Ryanair,FR,RYR,SP-RZI,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 04:55:00,2025-05-05 04:55:00,Athens,ATH,LGAV,Europe/Athens,2025-05-05 07:10:00,2025-05-05 07:50:00
FR 4010,RYR410D,Departed,Ryanair,FR,RYR,SP-RZP,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 05:00:00,2025-05-05 05:00:00,Goteborg,GOT,ESGG,Europe/Stockholm,2025-05-05 06:50:00,2025-05-05 06:43:00
FR 237,RYR2LD,Departed,Ryanair,FR,RYR,SP-RKP,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 05:00:00,2025-05-05 05:00:00,Gdańsk,GDN,EPGD,Europe/Warsaw,2025-05-05 06:10:00,2025-05-05 05:57:00
FR 4070,RYR83TD,Departed,Ryanair,FR,RYR,SP-RSD,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 05:20:00,2025-05-05 05:20:00,Prague,PRG,LKPR,Europe/Prague,2025-05-05 06:25:00,2025-05-05 06:04:00
FR 4490,RYR98HL,Departed,Ryanair,FR,RYR,SP-RZH,Boeing 737,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 05:20:00,2025-05-05 05:20:00,Ancona,AOI,LIPY,Europe/Rome,2025-05-05 07:00:00,
PLF 106,PLF106,Departed,Poland - Air Force,,PLF,0002,Gulfstream Aerospace V,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 05:45:00,2025-05-05 05:45:00,,,,,,
FR 2724,RYR1HD,Departed,Ryanair,FR,RYR,9H-QBY,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 05:45:00,2025-05-05 05:45:00,Copenhagen,CPH,EKCH,Europe/Copenhagen,2025-05-05 07:25:00,2025-05-05 07:17:00
XQ 433,SXS5R,Departed,Sun Express,XQ,SXS,TC-SEI,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 05:55:00,2025-05-05 05:55:00,Antalya,AYT,LTAI,Europe/Istanbul,2025-05-05 08:40:00,
FR 6230,RYR37TY,Departed,Ryanair,FR,RYR,SP-RKP,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 06:05:00,2025-05-05 06:05:00,Goleniów,SZZ,EPSC,Europe/Warsaw,,
FR 3505,RYR66YY,Departed,Ryanair,FR,RYR,EI-EFK,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 06:15:00,2025-05-05 06:15:00,Bergamo,BGY,LIME,Europe/Rome,2025-05-05 08:05:00,2025-05-05 07:40:00
FR 4627,RYR66HW,Departed,Ryanair,FR,RYR,EI-HGE,Boeing 737 MAX 8,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 06:15:00,2025-05-05 06:15:00,Stockholm,ARN,ESSA,Europe/Stockholm,2025-05-05 08:15:00,2025-05-05 07:54:00
